16x dialog-open  [wizard.html, card.html, dialog.html, cheatsheet.html]
15x dialog-close  [rich-text.html, card.html, dialog.html, cheatsheet.html]
9x card-flip  [card.html]
7x toggle-sidebar  [app-header.html, app-layout.html, getting-started.html]
6x sortable-item-delete  [sortable.html]
5x banner-close  [banner.html, card.html]
4x multi-demo  [select.html]
4x toggle-theme  [button.html, getting-started.html]
4x navigate  [home.html]
4x banner-show  [banner.html, card.html]
4x tabs-select  [tabs.html]
4x badge  [badge.html]
4x select-demo  [select.html]
3x overlay-close  [overlay.html]
3x handle-cookies  [banner.html]
3x demo  [card.html, tooltip.html]
3x demo-select  [declarative-actions.html]
3x select-open  [select.html]
3x save  [menu.html, getting-started.html]
2x accordion-expand-all  [accordion.html]
2x toggle-highlight  [button.html]
2x overlay-open  [overlay.html]
2x accordion-toggle  [accordion.html]
2x new-file  [menu.html]
2x accordion-collapse-all  [accordion.html]
2x open  [menu.html]
2x set-theme  [declarative-actions.html]
2x demo-media  [media-player.html]
1x show-confirm  [dialog.html]
1x show-replacement-demo  [banner.html]
1x show-prompt  [dialog.html]
1x set-active-tree  [link-list.html]
1x tag-remove  [tag-input.html]
1x set-markdown  [rich-text.html]
1x show-blocking-confirm  [dialog.html]
1x set-active-fold  [link-list.html]
1x get-markdown  [rich-text.html]
1x submit-form  [button.html]
1x api-remove  [tag-input.html]
1x highlight-target  [button.html]
1x show-alert  [dialog.html]
1x lightbox-demo  [lightbox.html]
1x approve  [declarative-actions.html]
1x demo-update  [declarative-actions.html]
1x redo  [menu.html]
1x api-has  [tag-input.html]
1x show-cookie-consent  [banner.html]
1x api-values  [tag-input.html]
1x tag-add  [tag-input.html]
1x set-html  [rich-text.html]
1x clear-active-fold  [link-list.html]
1x api-add2  [tag-input.html]
1x edit-section  [link-list.html]
1x show-bottom-banner  [banner.html]
1x get-html  [rich-text.html]
1x show-no-progress-demo  [banner.html]
1x paste  [menu.html]
1x cut  [menu.html]
1x api-list  [tag-input.html]
1x exit  [menu.html]
1x get-active-fold  [link-list.html]
1x zoom-out  [menu.html]
1x show-alert-bottom  [dialog.html]
1x greet  [utilities.html]
1x tag-clear  [tag-input.html]
1x api-clear  [tag-input.html]
1x get-active-tree  [link-list.html]
1x zoom-reset  [menu.html]
1x show-blocking-alert  [dialog.html]
1x show-info-banner  [banner.html]
1x reject  [declarative-actions.html]
1x update-status  [declarative-actions.html]
1x overlay-open-loader  [overlay.html]
1x delete  [declarative-actions.html]
1x validate-form  [inputs.html]
1x show-notifications  [app-header.html]
1x show-top-banner  [banner.html]
1x show-persistent-banner  [banner.html]
1x zoom-in  [menu.html]
1x show-alert-banner  [banner.html]
1x copy  [menu.html]
1x show-progress-demo  [banner.html]
1x clear-active-tree  [link-list.html]
1x undo  [menu.html]
1x demo-sortable-add  [sortable.html]
1x edit-group  [link-list.html]
1x show-programmatic-page  [dialog.html]
1x show-alert-top  [dialog.html]
1x <span style=  [declarative-actions.html]
1x api-add  [tag-input.html]
